state,details,fill_var
North Dakota,"<b>Restrictive:</b><br><a href=""https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1165.html""><b>ND H.B. 1165</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1165.html""><b>ND H.B. 1165</b> (2025)</a><br>",Mixed
Ohio,"<b>Restrictive:</b><br><a href=""https://www.legislature.ohio.gov/legislation/136/hb54"">OH H.B. 54 (2025)</a><br><a href=""https://www.legislature.ohio.gov/legislation/135/hb74""><b>OH H.B. 74</b> (2025)</a><br><a href=""https://www.legislature.ohio.gov/legislation/136/sb293""><b>OH S.B. 293</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://www.legislature.ohio.gov/legislation/135/hb74""><b>OH H.B. 74</b> (2025)</a><br>",Mixed
Oklahoma,"<b>Restrictive:</b><br><a href=""http://www.oklegislature.gov/BillInfo.aspx?Bill=hb1865&Session=2500""><b>OK H.B. 1865</b> (2025)</a><br><b>Expansive:</b><br><a href=""http://www.oklegislature.gov/BillInfo.aspx?Bill=sb814&Session=2500""><b>OK S.B. 814</b> (2025)</a><br>",Mixed
Rhode Island,"<b>Expansive:</b><br><a href=""http://webserver.rilegislature.gov/BillText/BillText25/HouseText25/H5709.pdf""><b>RI H.B. 5709 / S.B. 520</b> (2025)</a><br>",Expansive Only
South Dakota,"<b>Restrictive:</b><br><a href=""https://sdlegislature.gov/Session/Bill/26073""><b>SD S.B. 185</b> (2025)</a><br><a href=""https://sdlegislature.gov/#/Session/Bill/26606""><b>SD S.B. 30</b> (2026)</a><br><a href=""https://sdlegislature.gov/#/Session/Bill/27075""><b>SD S.B. 175</b> (2026)</a><br><b>Expansive:</b><br><a href=""https://sdlegislature.gov/Session/Bill/26073""><b>SD S.B. 185</b> (2025)</a><br>",Mixed
Tennessee,"<b>Restrictive:</b><br><a href=""https://wapp.capitol.tn.gov/apps/Billinfo/Default?BillNumber=HB0069&ga=114"">TN H.B. 69 (2025)</a><br><a href=""https://wapp.capitol.tn.gov/apps/Billinfo/Default?BillNumber=SB0407&ga=114""><b>TN S.B. 407</b> (2025)</a><br><a href=""https://wapp.capitol.tn.gov/apps/Billinfo/Default?BillNumber=SB0626&ga=114""><b>TN S.B. 626</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://wapp.capitol.tn.gov/apps/Billinfo/Default?BillNumber=SB0407&ga=114""><b>TN S.B. 407</b> (2025)</a><br>",Mixed
Texas,"<b>Restrictive:</b><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB521""><b>TX H.B. 521</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB2259""><b>TX H.B. 2259</b> (2025)</a><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB2753""><b>TX S.B. 2753</b> (2025)</a><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB2964""><b>TX S.B. 2964</b> (2025)</a><br><b>Election Interference:</b><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB2753""><b>TX S.B. 2753</b> (2025)</a><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=892&Bill=SB12""><b>TX S.B. 12</b> (2025)</a><br><a href=""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB510""><b>TX S.B. 510</b> (2025)</a><br>",Mixed
Utah,"<b>Restrictive:</b><br><a href=""https://le.utah.gov/~2025/bills/static/HB0300.html""><b>UT H.B. 300</b> (2025)</a><br><a href=""https://le.utah.gov/~2026/bills/static/HB0209.html""><b>UT H.B. 209</b> (2026)</a><br><a href=""https://le.utah.gov/~2026/bills/static/SB0194.html""><b>UT S.B. 194</b> (2026)</a><br><b>Expansive:</b><br><a href=""https://le.utah.gov/~2025/bills/static/SB0164.html""><b>UT S.B. 164</b> (2025)</a><br><b>Election Interference:</b><br><a href=""https://le.utah.gov/~2025/bills/static/HB0300.html""><b>UT H.B. 300</b> (2025)</a><br><a href=""https://le.utah.gov/~2026/bills/static/SB0194.html""><b>UT S.B. 194</b> (2026)</a><br>",Mixed
Vermont,"<b>Expansive:</b><br><a href=""https://legislature.vermont.gov/bill/status/2026/S.298""><b>VT S.B. 298</b> (2026)</a><br>",Expansive Only
Virginia,"<b>Expansive:</b><br><a href=""https://lis.virginia.gov/bill-details/20251/HB1735""><b>VA H.B. 1735 / S.B. 991</b> (2025)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/HB640""><b>VA H.B. 640</b> (2026)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/HB967""><b>VA H.B. 967</b> (2026)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/HB972""><b>VA H.B. 972</b> (2026)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/HB1014""><b>VA H.B. 1014</b> (2026)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/HB1244""><b>VA H.B. 1244</b> (2026)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/SB438""><b>VA S.B. 438</b> (2026)</a><br><a href=""https://lis.virginia.gov/bill-details/20261/SB582"">VA S.B. 582 (2026)</a><br>",Expansive Only
Washington,"<b>Expansive:</b><br><a href=""https://app.leg.wa.gov/billsummary?BillNumber=5077&Year=2025&Initiative=false""><b>WA S.B. 5077</b> (2025)</a><br><a href=""https://app.leg.wa.gov/billsummary?BillNumber=1710&Year=2025&Initiative=false""><b>WA H.B. 1710</b> (2026)</a><br><a href=""https://app.leg.wa.gov/billsummary?BillNumber=1750&Year=2025&Initiative=false""><b>WA H.B. 1750</b> (2026)</a><br><a href=""https://app.leg.wa.gov/billsummary?BillNumber=1916&Year=2025&Initiative=false""><b>WA H.B. 1916</b> (2026)</a><br>",Expansive Only
West Virginia,"<b>Restrictive:</b><br><a href=""http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=3016&year=2025&sessiontype=RS&btype=bill""><b>WV H.B. 3016</b> (2025)</a><br><a href=""http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=487&year=2025&sessiontype=RS&btype=bill""><b>WV S.B. 487</b> (2025)</a><br><a href=""http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=59&year=2026&sessiontype=RS&btype=bill"">WV S.B. 59 (2026)</a><br><b>Expansive:</b><br><a href=""http://www.wvlegislature.gov/Bill_Status/Bills_history.cfm?input=2709&year=2025&sessiontype=RS&btype=bill""><b>WV H.B. 2709</b> (2025)</a><br>",Mixed
Wyoming,"<b>Restrictive:</b><br><a href=""https://www.wyoleg.gov/Legislation/2025/HB0156""><b>WY H.B. 156</b> (2025)</a><br><a href=""https://www.wyoleg.gov/Legislation/2025/SF0078""><b>WY S.F. 78</b> (2025)</a><br><b>Expansive:</b><br><a href=""https://www.wyoleg.gov/Legislation/2025/SF0009""><b>WY S.F. 9</b> (2025)</a><br>",Mixed
